x,y,Width (m)
-94.11540659,35.44954273,615.5
-94.11479837,33.7894551,94
-94.11341144,35.44868658,570.5
-94.11269344,33.78955656,92
-94.11142068,35.44814592,508.5
-94.10971458,33.57060727,150.5
-94.10926588,35.44769432,547
-94.10761458,33.57067891,94
-94.10710736,35.44696836,546
-94.10637668,33.78971128,91.5
-94.10527943,35.44624398,671
-94.08853697,35.44253896,846.5
-94.08671504,33.77748544,102
-94.0855193,33.78371882,98.5
-94.08251914,33.77360824,107
-94.08057853,33.77386875,111.5
-94.07567214,35.44448458,360
-94.07533237,33.58013353,190
-94.07353083,35.44502658,379
-94.0713908,35.44566771,413
-94.06996855,36.26642117,561
-94.06947708,36.26466763,405.5
-94.06877479,33.77560521,92
-94.06776329,36.26143752,399
-94.06651459,33.77622773,171
-94.06570721,33.57971895,84
-94.06547045,35.44790205,488.5
-94.06482846,36.25680649,553
-94.06459026,33.57299684,150
-94.06440715,33.5747571,123
-94.06407013,33.57651869,92
-94.06374079,33.56962204,176
-94.0630071,33.74631085,816
-94.06281216,33.77812653,84.5
-94.062176,36.2705384,397.5
-94.06161653,33.7433518,349
-94.06112192,33.74614283,874.5
-94.06110882,33.77224299,271
-94.06086705,33.77803505,122
-94.06043018,36.1400008,209
-94.05995125,33.74207463,424
-94.05985209,33.77366972,108
-94.0598161,33.7374059,292
-94.05919961,33.7601383,97.5
-94.05901084,33.74566493,222
-94.05887852,33.77529242,89.5
-94.05878742,33.74066146,410
-94.05807378,33.75676595,92
-94.05791436,35.45146681,523
-94.05746303,33.75501254,94
-94.05726412,36.14135983,60
-94.05690797,33.7458543,146
-94.056544,33.72937662,1845
-94.05625296,33.56077544,177
-94.05594249,35.45234964,539
-94.05523703,33.7469328,116
-94.05501812,36.14082327,156
-94.05475277,33.72853876,1685.5
-94.0545766,33.74854378,120.5
-94.05450501,33.56004177,169
-94.05434625,36.13510965,296
-94.05264635,33.72840342,1455
-94.05234796,36.13444206,127
-94.05074068,36.13325714,84
-94.05064168,36.2571988,455.5
-94.05053938,33.72822295,2172.5
-94.04934577,33.55688207,169
-94.04882355,36.13016367,194
-94.0485886,33.72757215,2195
-94.04855521,35.45624955,834
-94.04823528,36.12651763,63
-94.04717295,36.27251881,433
-94.04690423,33.55380202,158
-94.04663742,33.72688524,2159
-94.04648494,36.25850457,474
-94.0458395,33.55233371,192
-94.04545391,36.14087624,127
-94.04494894,35.45858539,1183
-94.04395109,36.14237687,90.5
-94.0432564,35.45979017,1234.5
-94.04274923,32.69620035,2110.5
-94.04176762,36.14524342,175
-94.04168063,36.27978786,613
-94.04150523,35.46072495,1300.5
-94.04122072,36.12921128,86.5
-94.04093861,33.72421696,2369
-94.04032971,36.26020983,341.5
-94.03999215,36.14643032,138
-94.03927029,36.12962489,77.5
-94.03816265,36.26048108,196
-94.03799694,36.14685255,63
-94.03688595,33.72378389,2860
-94.03598749,36.26013934,267.5
-94.03564364,33.55257094,218
-94.03529784,36.27957284,834
-94.03505643,35.46057177,1032
-94.03413664,36.25906633,416
-94.0339069,32.7471563,1410
-94.03372849,36.11379689,54
-94.03354722,33.55291315,198
-94.03348661,36.14619996,135.5
-94.0333165,36.13068612,60
-94.03290613,35.46046525,969.5
-94.03239748,32.69955,3585
-94.03228924,36.2582511,387
-94.03149388,36.14596471,173
-94.03118623,36.12585425,45
-94.03108405,32.73838492,1026.5
-94.03087238,32.73310987,1644
-94.03075467,35.46026854,844
-94.03045306,36.25726986,256
-94.03034145,32.73135531,1708.5
-94.03000872,32.72959911,1778
-94.02986316,36.27694229,683.5
-94.02935646,33.55377781,295
-94.02872443,32.72609179,1668
-94.02860366,35.46010527,611
-94.02838884,36.24771898,336.5
-94.02824175,32.69997072,3295
-94.02786355,36.25434961,354
-94.02753093,36.24934907,395
-94.0274684,36.14498059,173
-94.02707915,36.25273363,390
-94.0268867,33.72700597,2281.5
-94.0260345,36.30426381,585.5
-94.02588167,36.21731436,445
-94.02572001,32.72124552,1829
-94.02540075,36.30264654,474.5
-94.02530007,36.14491417,142
-94.02495606,33.72803211,2130.5
-94.02443698,32.71990298,1866
-94.02352308,36.27742043,539.5
-94.02324097,33.55585779,166
-94.0226551,36.223649,127
-94.02235746,32.7572634,780
-94.02211393,36.29794178,625
-94.02198748,35.45978279,414.5
-94.02183165,32.75902661,799
-94.02175086,36.3080165,603
-94.02152536,32.71722068,3181
-94.02098866,36.20072318,287
-94.02092903,32.70308909,3563
-94.02086815,32.76065809,774.5
-94.02081348,36.29660063,776
-94.02038741,36.24264887,326
-94.02010162,32.71587925,4115
-94.01984156,35.4600212,400
-94.01979109,36.19586518,285.5
-94.01971175,36.29512255,747
-94.0196558,33.7316348,2223.763672
-94.01926149,36.24421809,351.5
-94.01883522,36.22509156,150
-94.01872189,36.29350828,674
-94.01852429,32.71453904,6108
-94.01842426,32.76541354,508
-94.01827411,36.19467186,339
-94.01805013,33.73277359,2223.763672
-94.01759247,36.30943849,739.5
-94.01725784,36.2072459,289.5
-94.01699151,36.14707142,105
-94.01685573,36.28202993,606
-94.01661813,36.34247783,973.5
-94.01644442,33.73391236,2223.763672
-94.01610695,36.20874318,270
-94.01604832,36.21608205,246.5
-94.01590149,36.17889554,245.5
-94.01582603,36.34363205,1741
-94.015767,36.31039338,761
-94.01572196,35.46105288,531.5
-94.01557461,32.7118569,1200
-94.01547526,36.33721377,973.5
-94.01508576,36.16738097,150
-94.01501986,36.22689457,180
-94.01487418,36.28705014,874
-94.01467508,36.33356949,973.5
-94.01409994,36.2151069,237
-94.01393829,36.31110127,938.5
-94.01377113,34.57121414,30
-94.01375039,35.46201617,671.5
-94.0136512,32.71160186,5706
-94.01356874,36.21187495,293.5
-94.01326114,36.24581194,360
-94.01323739,36.16630578,211
-94.01317616,32.76863568,777.5
-94.01302604,36.22759301,256
-94.01272599,36.19136347,412.5
-94.0121691,36.34535533,2753
-94.01174271,32.71266723,5637
-94.0111829,36.14657969,127
-94.01077365,32.76860677,746
-94.01025251,36.31291745,750
-94.01018378,36.18202894,592
-94.01013785,36.16389785,180
-94.01002126,33.73847806,2223.763672
-94.00968964,36.21473851,343.5
-94.00923915,36.34835506,2418
-94.00895188,33.56375488,258
-94.00811089,36.32566477,993
-94.00773946,34.57276229,48
-94.00758263,36.34952657,2563
-94.00743059,36.31591624,764
-94.00718247,33.56445834,284
-94.00689938,36.24441293,216
-94.00660564,32.76823055,1167
-94.00648819,33.74098526,2223.763672
-94.00633241,32.7154493,5217
-94.00592883,36.32269017,938
-94.00588365,36.31917468,670
-94.00575453,36.35035873,2306
-94.0051703,36.24322846,264.5
-94.00464166,32.80721576,80
-94.00458122,32.71628418,3579
-94.00414842,36.15664585,212
-94.00360787,36.24184423,265
-94.00327611,33.74326249,2223.763672
-94.00282118,33.56462259,234
-94.00272138,32.80742057,61.5
-94.00261529,32.8032709,63
-94.00244222,36.24050173,336
-94.00214411,32.80452073,65
-94.00202818,36.15341811,189
-94.0015918,32.80180237,220
-94.0014482,32.80614089,54
-94.00127711,36.23902398,515
-94.0012594,36.14990858,184
-94.00120494,32.79342451,666
-94.0011385,36.14639362,166
-94.00092745,32.7915325,657
-94.00076006,32.7180827,3348
-94.00058684,36.23114148,813
-94.00022836,32.79695015,593
-93.99989505,36.21455932,345
-93.9997582,34.57539536,45
-93.99953272,32.78992002,551
-93.99935848,36.2325491,710
-93.99900985,32.71901491,3282
-93.99845779,33.746689,2223.763672
-93.99842441,32.76699068,419
-93.99813185,36.21132857,453
-93.99651081,32.7677185,366
-93.99613809,34.57351581,42
-93.99539769,33.53732698,84
-93.99510069,33.74904395,2223.763672
-93.9948162,32.76894067,530
-93.994487,34.57218746,63
-93.99333727,32.77035955,582
-93.993093,36.20873547,618
-93.99292494,33.54599431,84
-93.99281522,35.46680009,810
-93.9923664,33.74554223,2737.521484
-93.99214417,32.78118415,757
-93.99131472,32.77956709,766
-93.99102998,32.72109155,4870
-93.99088159,34.57152578,63
-93.99070983,33.74230878,2333.438477
-93.99067203,35.46728397,896
-93.99045268,32.77307941,306.5
-93.99023346,33.54912744,122
-93.98982607,33.7405572,2248.700195
-93.98941187,33.55075744,111.5
-93.98894489,32.72070211,5347
-93.98888272,33.56292835,84
-93.98836479,35.46787317,923
-93.98816713,33.55414952,123
-93.98793039,33.53416002,152
-93.98777635,33.56118749,87
-93.98749626,33.5576723,94
-93.98730869,34.5736092,36
-93.9870157,32.71993255,5339.5
-93.98605548,35.46829554,952.5
-93.9858274,33.53390234,152
-93.98524616,32.71912382,5069
-93.98391045,35.46863506,1098
-93.98372959,33.53410069,156
-93.98363384,32.71805405,4963
-93.98176723,35.46912394,1129
-93.98134659,33.72398521,2927.022339
-93.98080562,36.21037918,381
-93.98048634,33.72236865,2890.275391
-93.98032418,34.57762963,30
-93.97962079,35.46935004,1084
-93.97925613,32.70998093,30
-93.97883152,32.7082253,1400
-93.97858018,36.20729797,276.5
-93.97839178,34.57740166,36
-93.9780997,32.70471311,1472.5
-93.97799575,34.57244516,36
-93.97784972,34.57420476,45
-93.97750599,32.70295879,1309
-93.97726872,36.20399288,204
-93.97710887,33.71576658,2649.456543
-93.97692995,34.56893683,39
-93.97557588,33.54166779,94
-93.97538719,33.71239813,2454.651367
-93.97507613,32.70000102,1103
-93.9748675,36.22071588,516
-93.97483051,36.22247414,352
-93.97458112,33.7107811,2410.009277
-93.97451689,36.22409944,149
-93.97439888,36.21368782,356
-93.97362426,33.54668874,115
-93.97355954,36.20340827,265.5
-93.97327791,36.21018101,342
-93.97318274,35.47014018,929
-93.97292592,33.70754737,2076.813965
-93.97283005,33.5484537,83.5
-93.97267188,36.20666999,195
-93.97180349,33.55008519,67
-93.97155514,36.22722776,204
-93.97088524,33.55158054,84
-93.96964393,32.69724427,1250
-93.96926969,33.55275666,143
-93.96912731,36.22735263,239
-93.96863437,33.69919356,903.2391357
-93.96808954,34.56521986,36
-93.96796173,34.5635977,33
-93.96791536,33.55398483,150
-93.96761526,36.33479045,721
-93.9675637,32.69724487,1177.5
-93.96728021,36.22644622,254
-93.96674493,34.57713377,45
-93.96673391,34.57537542,30
-93.96661701,34.57361792,30
-93.9665716,35.47029249,865
-93.96616796,33.69433437,220.2928925
-93.96597045,33.67770439,84
-93.96586906,34.57870075,48
-93.96559566,36.22518327,360
-93.96529579,33.6708102,65
-93.96477478,33.69273018,67
-93.96470412,33.67906712,84
-93.96456582,33.6691925,67
-93.963996,34.57983374,42
-93.96327166,36.33494145,976
-93.96308496,33.68909071,67
-93.96261071,33.68733573,78
-93.9624632,33.68557819,60
-93.96235928,33.68206164,67
-93.96227228,35.47021865,677.5
-93.96219395,33.68382161,65
-93.96193526,33.66640451,84
-93.96023576,33.55698486,114
-93.95958099,32.69894789,1525.5
-93.95940521,36.33311545,978
-93.95855811,34.57625922,30
-93.95836007,36.35512055,1761.5
-93.95829022,33.55639565,108
-93.95796771,36.35337478,1703
-93.95780937,35.47029021,701
-93.95766821,32.69964805,876
-93.95701639,36.35642949,1474
-93.95692415,36.35162521,1455
-93.95643331,34.57635834,39
-93.9563443,33.55577035,117
-93.95578128,36.34838895,654
-93.95567496,36.22736167,228
-93.95565876,35.47017202,749
-93.95532673,36.23088038,157
-93.95522005,36.33254883,925
-93.9541211,36.34502157,706
-93.95351955,32.70077112,1497
-93.95298475,33.66168841,55.5
-93.95252212,36.30312193,84
-93.95216094,36.23212267,48
-93.95135562,35.46977323,783.5
-93.95122468,36.33855382,660
-93.95102309,36.35849671,1101.5
-93.95044662,36.33504414,30
-93.95019487,36.30408318,158
-93.94936372,32.7012266,1534
-93.94893229,33.66096844,90
-93.94887923,34.57358577,54
-93.94837207,33.54959047,181
-93.94780885,36.23110245,46.5
-93.94744947,32.70180033,1627.5
-93.94710372,33.54825814,150
-93.94692769,34.57453876,52.5
-93.94542749,33.5474484,94
-93.94518748,36.35980512,1233
-93.94474044,35.46958175,780
-93.94403818,33.65230521,77
-93.94392751,34.55891638,46
-93.94346305,32.70315456,570
-93.94335504,33.65055173,67
-93.94301121,36.3595699,877.5
-93.94279882,34.55741915,42
-93.9425917,35.46962174,800
-93.94255904,34.57191237,61.5
-93.94201489,36.30669307,142
-93.94183549,34.56556052,42
-93.94145648,33.56763633,78.5
-93.94124232,33.57102011,67
-93.94113894,36.23165094,399.5
-93.94081105,34.5686795,30
-93.94078187,34.56705655,45
-93.94055343,33.57278407,67
-93.93980206,32.70503301,805
-93.9392345,33.64691238,65
-93.93883605,34.55124554,36
-93.93862633,33.57591028,87
-93.93818271,33.56279089,108
-93.93788662,32.70550739,862
-93.93746181,34.54999362,42
-93.93721161,36.30809565,166
-93.93597909,35.46965002,780
-93.93581833,33.64871502,67
-93.93556068,33.54941737,84
-93.93536528,34.54964127,30
-93.93503959,36.30809334,131
-93.934827,33.6501836,67
-93.93446203,33.55456656,94
-93.93431884,33.58013674,153.5
-93.93334148,34.54994403,52
-93.93146665,33.66159089,67
-93.93073263,34.55307762,57
-93.93028344,34.56307907,51
-93.93006356,36.3533248,2558
-93.92986107,33.66272906,67
-93.92944043,34.56470867,45
-93.92888706,33.65539624,72
-93.92821359,36.3523926,3340
-93.92776144,33.66306179,61.5
-93.92732769,34.56783583,54
-93.9258167,33.66275169,80
-93.92542737,32.70777384,1082.5
-93.92464412,33.58331197,60
-93.92429142,36.31284676,240.5
-93.92371185,33.66259736,78
-93.92322535,35.4675663,653
-93.92257851,36.31400492,385
-93.92254254,33.58328256,63
-93.92201766,36.35149399,2580
-93.92123357,35.46686922,594.5
-93.92003957,34.56826972,42
-93.91967742,36.3515043,2670
-93.91941073,36.31649045,293
-93.91674633,36.31936149,441
-93.91507286,33.63074213,67
-93.91445377,36.33857041,1631
-93.91426759,33.63237151,75
-93.91414178,34.566258,63
-93.91396317,32.70912076,54
-93.91391185,35.46265113,413
-93.91379723,33.62764902,84
-93.91331129,33.65943555,87
-93.91280371,36.33548904,30
-93.91265436,32.70398871,48
-93.91226536,35.46128408,462
-93.91219092,33.66242009,63
-93.91150967,33.63726214,67
-93.91085935,33.65580998,84
-93.91036734,36.32637713,827
-93.90993663,33.57625983,164
-93.90971396,33.64022457,69
-93.90920638,35.45876454,366
-93.9090655,34.56658809,42
-93.90877183,36.33371314,699
-93.90856567,33.57478175,138
-93.90764293,33.57330037,104
-93.90753568,32.69644877,42
-93.90651627,33.57168519,112.5
-93.90635954,35.45608104,450
-93.90552929,33.64116621,65.5
-93.90540521,36.33163998,1815
-93.90516725,33.65293685,84
-93.90494661,33.63538543,80
-93.90438162,36.32791007,1186
-93.904252,36.32922725,621.6539612
-93.9040367,34.57030104,46.5
-93.90377384,33.64220001,84
-93.90359483,36.32634739,30
-93.90353794,33.6518232,84
-93.90333587,36.31742438,577
-93.90331832,36.32459153,795
-93.90321635,33.6365203,82
-93.90316479,36.32094157,920.5
-93.90305777,36.32270033,754
-93.90249754,36.31234617,652
-93.90212538,32.68228074,45
-93.90207906,34.57073034,36
-93.9019923,33.65045458,71
-93.90187366,36.32974105,1860
-93.90068917,36.3110436,399
-93.90012208,34.57122272,45
-93.89953414,36.32975869,1890
-93.8994363,36.30961061,465
-93.89934811,33.63781116,63
-93.89755382,35.44845584,681
-93.89676451,36.30682337,423
-93.89650066,32.67978273,42
-93.89579737,36.37995566,1363.5
-93.89531771,33.63907344,78
-93.89502246,36.32981574,885
-93.89448627,36.37644962,1031.5
-93.89410662,36.38321375,1540
-93.89373198,36.37483256,1105
-93.89340883,35.44728225,624
-93.8932993,36.37125424,1492
-93.8929769,36.3848449,1503.5
-93.89291971,36.30663939,336
-93.89271366,34.57443203,36
-93.89163951,36.3702415,1212
-93.89154983,32.67637583,63
-93.89146083,33.58180576,175.5
-93.89131767,32.66788027,54
-93.89092939,33.58356832,223
-93.89075095,36.30692087,270
-93.89067366,34.57460152,30
-93.89057018,33.58546491,204
-93.89054216,32.67478637,54
-93.88997353,32.66261287,51
-93.8896229,36.36935503,817
-93.88912043,35.44808675,494
-93.88895848,33.63512647,87
-93.88888832,32.65747893,48
-93.88872348,36.34025202,1155.5
-93.88842766,32.65572321,48
-93.88827394,36.34187808,1209
-93.88798227,33.63351006,67
-93.88760694,36.36852261,763
-93.88730169,33.59190484,151
-93.88680551,35.44799558,630
-93.88676242,34.57587444,73.5
-93.88627619,32.65276168,42
-93.88524642,36.39629745,1479.5
-93.88481134,34.57694367,52.5
-93.88450581,33.62693844,84
-93.88281224,34.57966345,39
-93.88184501,36.34688581,990
-93.88171993,32.64873457,84
-93.88124805,36.39771533,1043.5
-93.88053205,35.44865513,753
-93.88037064,36.36440037,1173
-93.88018421,32.64739228,42
-93.87902506,33.62740502,79.5
-93.87873672,36.30826934,274
-93.87815282,34.58136276,51
-93.8771238,32.64516762,57
-93.87690611,36.39834228,1359.5
-93.87651726,36.30786836,226
-93.87619319,36.34970764,1166
-93.87604858,36.36266055,684.8269043
-93.8758462,36.35454588,699
-93.87405226,34.58022247,42
-93.87382082,36.30493241,122
-93.873278,32.64439161,42
-93.87292125,34.58690366,45
-93.87245966,34.58849407,42
-93.87236309,33.59217856,78.5
-93.8722211,35.46268911,417
-93.87144518,35.46431767,440
-93.8713487,32.6433406,52.5
-93.87108853,34.58353512,54
-93.87054908,34.58931029,42
-93.86957938,32.64229207,63
-93.86936893,36.36378858,30
-93.86908448,36.42396604,2598
-93.86858903,34.58956773,33
-93.86832182,33.59218637,156
-93.86819653,36.39730608,1299
-93.8679362,36.36244673,30
-93.86755945,35.47070223,630
-93.86719681,36.42073437,1957
-93.86686455,36.36772834,939.5
-93.8663609,35.47219854,595
-93.86628954,36.36110642,763
