x,y,Meander length (m)
-94.16619323,33.78486754,3309.835207
-94.16445816,35.37813098,1318.87378
-94.16348807,33.59155629,1962.070682
-94.16231173,35.37815165,1061.680408
-94.16153838,33.78424408,3309.835207
-94.16035781,33.78303769,3309.835207
-94.15619459,33.78346457,3309.835207
-94.15356044,35.37820461,804.4870367
-94.1524311,33.57613324,2828.468176
-94.15141842,35.37853546,804.4870367
-94.15111447,33.58142151,2828.468176
-94.15064382,35.43384842,1625.783466
-94.15061814,35.42681602,2135.617055
-94.15041466,35.435744,1005.541346
-94.14848957,35.42399619,1565.505914
-94.14725257,35.42252027,710.3392009
-94.14712539,35.37856728,1048.489658
-94.14590798,35.42091012,672.2736772
-94.14419078,33.78231388,1008.185947
-94.14360167,35.4447618,1203.558742
-94.14283477,35.37877024,1048.489658
-94.14239204,33.78105712,1008.185947
-94.14103239,35.37977185,1048.489658
-94.14032786,35.44699993,1203.558742
-94.13939935,35.38107479,429.6
-94.13928792,35.41150572,1892.942859
-94.13869165,35.44817306,1203.558742
-94.13796531,35.38244075,429.6
-94.13772265,35.40827463,1892.942859
-94.13705798,35.44953007,1257.153321
-94.13674186,35.40666094,1892.942859
-94.13566805,33.78151653,3049.305248
-94.13518326,35.38503656,1627.139848
-94.13465636,33.78314145,3049.305248
-94.13328154,35.40020175,556.0598836
-94.13301187,35.38816757,1627.139848
-94.13259318,35.39845004,556.0598836
-94.13215416,35.38966329,1627.139848
-94.13199044,35.4535358,1364.34248
-94.13194753,35.3914234,1627.139848
-94.1317409,35.39318351,688.2018439
-94.13156257,35.39494336,644.1545238
-94.13071688,33.57008348,2235.080468
-94.12785306,35.45316365,1364.34248
-94.12685575,33.57142643,2235.080468
-94.1256949,35.45248568,1364.34248
-94.12477667,33.78434119,3049.305248
-94.12170992,35.45117937,728.7824378
-94.1212057,33.7896225,1980.175993
-94.12033136,33.7880071,1980.175993
-94.11870865,33.79113323,875.2406682
-94.11740028,35.45029067,895.7295212
-94.11675186,33.79016794,875.2406682
-94.11540659,35.44954273,1730.464938
-94.11479837,33.7894551,875.2406682
-94.11341144,35.44868658,1730.464938
-94.11269344,33.78955656,875.2406682
-94.11142068,35.44814592,1730.464938
-94.10971458,33.57060727,2236.317986
-94.10926588,35.44769432,1730.464938
-94.10761458,33.57067891,2236.317986
-94.10710736,35.44696836,1730.464938
-94.10637668,33.78971128,1823.307918
-94.10527943,35.44624398,1252.96093
-94.08853697,35.44253896,1407.793884
-94.08671504,33.77748544,2869.833092
-94.0855193,33.78371882,1624.439686
-94.08251914,33.77360824,2869.833092
-94.08057853,33.77386875,2869.833092
-94.07567214,35.44448458,1342.941012
-94.07533237,33.58013353,2193.355827
-94.07353083,35.44502658,1342.941012
-94.0713908,35.44566771,1342.941012
-94.06996855,36.26642117,944.2284534
-94.06947708,36.26466763,944.2284534
-94.06877479,33.77560521,3785.890445
-94.06776329,36.26143752,1272.430124
-94.06651459,33.77622773,3785.890445
-94.06570721,33.57971895,2193.355827
-94.06547045,35.44790205,1396.574634
-94.06482846,36.25680649,1985.552954
-94.06459026,33.57299684,2040.203285
-94.06440715,33.5747571,2040.203285
-94.06407013,33.57651869,399.6199139
-94.06374079,33.56962204,2040.203285
-94.0630071,33.74631085,5156.105779
-94.06281216,33.77812653,3785.890445
-94.062176,36.2705384,1111.490249
-94.06161653,33.7433518,5156.105779
-94.06112192,33.74614283,5156.105779
-94.06110882,33.77224299,1485.530797
-94.06086705,33.77803505,3785.890445
-94.06043018,36.1400008,1752.985122
-94.05995125,33.74207463,5062.002775
-94.05985209,33.77366972,3785.890445
-94.0598161,33.7374059,4591.487756
-94.05919961,33.7601383,5156.105779
-94.05901084,33.74566493,5156.105779
-94.05887852,33.77529242,3785.890445
-94.05878742,33.74066146,4591.487756
-94.05807378,33.75676595,5156.105779
-94.05791436,35.45146681,984.9578725
-94.05746303,33.75501254,5156.105779
-94.05726412,36.14135983,1303.356936
-94.05690797,33.7458543,5156.105779
-94.056544,33.72937662,4591.487756
-94.05625296,33.56077544,3733.716114
-94.05594249,35.45234964,650.3240671
-94.05523703,33.7469328,5156.105779
-94.05501812,36.14082327,1303.356936
-94.05475277,33.72853876,4591.487756
-94.0545766,33.74854378,5156.105779
-94.05450501,33.56004177,3733.716114
-94.05434625,36.13510965,2877.055587
-94.05264635,33.72840342,4591.487756
-94.05234796,36.13444206,2877.055587
-94.05074068,36.13325714,2877.055587
-94.05064168,36.2571988,1611.817569
-94.05053938,33.72822295,4591.487756
-94.04934577,33.55688207,3733.716114
-94.04882355,36.13016367,2143.350552
-94.0485886,33.72757215,4591.487756
-94.04855521,35.45624955,1392.796328
-94.04823528,36.12651763,1083.644586
-94.04717295,36.27251881,895.9033245
-94.04690423,33.55380202,3733.716114
-94.04663742,33.72688524,1343.006403
-94.04648494,36.25850457,553.1726707
-94.0458395,33.55233371,3733.716114
-94.04545391,36.14087624,1894.176428
-94.04494894,35.45858539,1002.743437
-94.04395109,36.14237687,1894.176428
-94.0432564,35.45979017,1002.743437
-94.04274923,32.69620035,2839.75988
-94.04176762,36.14524342,1454.461237
-94.04168063,36.27978786,1341.288588
-94.04150523,35.46072495,862.4853238
-94.04122072,36.12921128,1301.731849
-94.04093861,33.72421696,1325.017379
-94.04032971,36.26020983,1551.129868
-94.03999215,36.14643032,1014.746046
-94.03927029,36.12962489,1301.731849
-94.03816265,36.26048108,1551.129868
-94.03799694,36.14685255,1014.746046
-94.03688595,33.72378389,932.519356
-94.03598749,36.26013934,4386.491653
-94.03564364,33.55257094,11188.18373
-94.03529784,36.27957284,2474.270809
-94.03505643,35.46057177,899.4590439
-94.03413664,36.25906633,4953.56401
-94.0339069,32.7471563,323.1099364
-94.03372849,36.11379689,7434.808396
-94.03354722,33.55291315,11188.18373
-94.03348661,36.14619996,888.7813194
-94.0333165,36.13068612,1968.658563
-94.03290613,35.46046525,899.4590439
-94.03239748,32.69955,2839.75988
-94.03228924,36.2582511,4953.56401
-94.03149388,36.14596471,1203.877736
-94.03118623,36.12585425,1620.227042
-94.03108405,32.73838492,897.8214358
-94.03087238,32.73310987,1783.902432
-94.03075467,35.46026854,1806.167045
-94.03045306,36.25726986,4953.56401
-94.03034145,32.73135531,1783.902432
-94.03000872,32.72959911,1783.902432
-94.02986316,36.27694229,2474.270809
-94.02935646,33.55377781,11188.18373
-94.02872443,32.72609179,1783.902432
-94.02860366,35.46010527,1806.167045
-94.02838884,36.24771898,4953.56401
-94.02824175,32.69997072,1365.33641
-94.02786355,36.25434961,4953.56401
-94.02753093,36.24934907,4953.56401
-94.0274684,36.14498059,1440.200048
-94.02707915,36.25273363,4953.56401
-94.0268867,33.72700597,1698.571171
-94.0260345,36.30426381,1644.168168
-94.02588167,36.21731436,1407.263188
-94.02572001,32.72124552,608.0531642
-94.02540075,36.30264654,937.2483995
-94.02530007,36.14491417,1440.200048
-94.02495606,33.72803211,1698.571171
-94.02443698,32.71990298,608.0531642
-94.02352308,36.27742043,1979.674161
-94.02324097,33.55585779,11188.18373
-94.0226551,36.223649,1953.57791
-94.02235746,32.7572634,3495.696653
-94.02211393,36.29794178,713.0030748
-94.02198748,35.45978279,1806.167045
-94.02183165,32.75902661,3495.696653
-94.02175086,36.3080165,1644.168168
-94.02152536,32.71722068,1309.340267
-94.02098866,36.20072318,1059.133269
-94.02092903,32.70308909,1365.33641
-94.02086815,32.76065809,3495.696653
-94.02081348,36.29660063,1260.020574
-94.02038741,36.24264887,1381.451779
-94.02010162,32.71587925,1309.340267
-94.01984156,35.4600212,812.5979774
-94.01979109,36.19586518,1281.523621
-94.01971175,36.29512255,1260.020574
-94.0196558,33.7316348,1601.23902
-94.01926149,36.24421809,1381.451779
-94.01883522,36.22509156,620.7422741
-94.01872189,36.29350828,1260.020574
-94.01852429,32.71453904,1309.340267
-94.01842426,32.76541354,2760.439113
-94.01827411,36.19467186,1281.523621
-94.01805013,33.73277359,1601.23902
-94.01759247,36.30943849,1352.730954
-94.01725784,36.2072459,1657.81177
-94.01699151,36.14707142,1972.303678
-94.01685573,36.28202993,1391.261744
-94.01661813,36.34247783,1038.856283
-94.01644442,33.73391236,1601.23902
-94.01610695,36.20874318,2275.950545
-94.01604832,36.21608205,2275.950545
-94.01590149,36.17889554,1243.721159
-94.01582603,36.34363205,812.8350387
-94.015767,36.31039338,1294.443511
-94.01572196,35.46105288,613.8841639
-94.01557461,32.7118569,1550.206362
-94.01547526,36.33721377,1940.680129
-94.01508576,36.16738097,1412.945906
-94.01501986,36.22689457,1392.67228
-94.01487418,36.28705014,539.0684438
-94.01467508,36.33356949,1940.680129
-94.01409994,36.2151069,2275.950545
-94.01393829,36.31110127,1294.443511
-94.01377113,34.57121414,7646.93977
-94.01375039,35.46201617,613.8841639
-94.0136512,32.71160186,1629.034667
-94.01356874,36.21187495,2275.950545
-94.01326114,36.24581194,815.6116839
-94.01323739,36.16630578,420.0617262
-94.01317616,32.76863568,2760.439113
-94.01302604,36.22759301,1392.67228
-94.01272599,36.19136347,2048.032711
-94.0121691,36.34535533,974.488666
-94.01174271,32.71266723,1629.034667
-94.0111829,36.14657969,1398.708038
-94.01077365,32.76860677,2760.439113
-94.01025251,36.31291745,1424.14224
-94.01018378,36.18202894,1191.234422
-94.01013785,36.16389785,974.4886723
-94.01002126,33.73847806,1983.077009
-94.00968964,36.21473851,2925.698632
-94.00923915,36.34835506,988.9053339
-94.00895188,33.56375488,11188.18373
-94.00811089,36.32566477,980.9455034
-94.00773946,34.57276229,7646.93977
-94.00758263,36.34952657,1017.73867
-94.00743059,36.31591624,2072.635888
-94.00718247,33.56445834,11188.18373
-94.00689938,36.24441293,1467.925255
-94.00660564,32.76823055,2760.439113
-94.00648819,33.74098526,1983.077009
-94.00633241,32.7154493,3374.458045
-94.00592883,36.32269017,1706.111111
-94.00588365,36.31917468,2072.635888
-94.00575453,36.35035873,1017.73867
-94.0051703,36.24322846,1467.925255
-94.00464166,32.80721576,3002.902597
-94.00458122,32.71628418,3374.458045
-94.00414842,36.15664585,2160.192039
-94.00360787,36.24184423,1467.925255
-94.00327611,33.74326249,1983.077009
-94.00282118,33.56462259,11188.18373
-94.00272138,32.80742057,964.0982555
-94.00261529,32.8032709,8671.960325
-94.00244222,36.24050173,1686.777736
-94.00214411,32.80452073,6469.71402
-94.00202818,36.15341811,2160.192039
-94.0015918,32.80180237,8671.960325
-94.0014482,32.80614089,964.0982555
-94.00127711,36.23902398,2124.482698
-94.0012594,36.14990858,1785.107112
-94.00120494,32.79342451,8671.960325
-94.0011385,36.14639362,1034.937258
-94.00092745,32.7915325,8671.960325
-94.00076006,32.7180827,3374.458045
-94.00058684,36.23114148,1147.895211
-94.00022836,32.79695015,8671.960325
-93.99989505,36.21455932,2925.698632
-93.9997582,34.57539536,7646.93977
-93.99953272,32.78992002,8671.960325
-93.99935848,36.2325491,2124.482698
-93.99900985,32.71901491,3374.458045
-93.99845779,33.746689,862.8251745
-93.99842441,32.76699068,8671.960325
-93.99813185,36.21132857,2275.465025
-93.99651081,32.7677185,8671.960325
-93.99613809,34.57351581,7646.93977
-93.99539769,33.53732698,739.3403942
-93.99510069,33.74904395,3199.28032
-93.9948162,32.76894067,8671.960325
-93.994487,34.57218746,7646.93977
-93.99333727,32.77035955,8671.960325
-93.993093,36.20873547,1950.348222
-93.99292494,33.54599431,3494.608523
-93.99281522,35.46680009,734.9997652
-93.9923664,33.74554223,3714.125171
-93.99214417,32.78118415,8671.960325
-93.99131472,32.77956709,8671.960325
-93.99102998,32.72109155,3374.458045
-93.99088159,34.57152578,5270.970951
-93.99070983,33.74230878,3714.125171
-93.99067203,35.46728397,734.9997652
-93.99045268,32.77307941,8671.960325
-93.99023346,33.54912744,3494.608523
-93.98982607,33.7405572,3714.125171
-93.98941187,33.55075744,3494.608523
-93.98894489,32.72070211,3374.458045
-93.98888272,33.56292835,11188.18373
-93.98836479,35.46787317,323.7063338
-93.98816713,33.55414952,11188.18373
-93.98793039,33.53416002,1052.336376
-93.98777635,33.56118749,11188.18373
-93.98749626,33.5576723,11188.18373
-93.98730869,34.5736092,3686.991739
-93.9870157,32.71993255,4000.05178
-93.98605548,35.46829554,624.0046154
-93.9858274,33.53390234,965.7726786
-93.98524616,32.71912382,4000.05178
-93.98391045,35.46863506,624.0046154
-93.98372959,33.53410069,965.7726786
-93.98363384,32.71805405,4000.05178
-93.98176723,35.46912394,589.0422923
-93.98134659,33.72398521,3303.184808
-93.98080562,36.21037918,2102.719373
-93.98048634,33.72236865,3303.184808
-93.98032418,34.57762963,3686.991739
-93.97962079,35.46935004,379.2683533
-93.97925613,32.70998093,4000.05178
-93.97883152,32.7082253,4000.05178
-93.97858018,36.20729797,2102.719373
-93.97839178,34.57740166,3686.991739
-93.9780997,32.70471311,4000.05178
-93.97799575,34.57244516,3686.991739
-93.97784972,34.57420476,3686.991739
-93.97750599,32.70295879,4000.05178
-93.97726872,36.20399288,1443.428369
-93.97710887,33.71576658,3303.184808
-93.97692995,34.56893683,11290.74364
-93.97557588,33.54166779,533.2809747
-93.97538719,33.71239813,3303.184808
-93.97507613,32.70000102,1075.87749
-93.9748675,36.22071588,2339.739237
-93.97483051,36.22247414,2567.741047
-93.97458112,33.7107811,3099.923437
-93.97451689,36.22409944,2567.741047
-93.97439888,36.21368782,1883.735616
-93.97362426,33.54668874,925.9819541
-93.97355954,36.20340827,1278.605618
-93.97327791,36.21018101,1515.795001
-93.97318274,35.47014018,757.1838525
-93.97292592,33.70754737,2490.139326
-93.97283005,33.5484537,1259.08607
-93.97267188,36.20666999,1025.207514
-93.97180349,33.55008519,1259.08607
-93.97155514,36.22722776,2567.741047
-93.97088524,33.55158054,1259.08607
-93.96964393,32.69724427,1075.87749
-93.96926969,33.55275666,1259.08607
-93.96912731,36.22735263,2567.741047
-93.96863437,33.69919356,2490.139326
-93.96808954,34.56521986,11290.74364
-93.96796173,34.5635977,11290.74364
-93.96791536,33.55398483,1206.972934
-93.96761526,36.33479045,1433.220039
-93.9675637,32.69724487,1075.87749
-93.96728021,36.22644622,2567.741047
-93.96674493,34.57713377,11290.74364
-93.96673391,34.57537542,11290.74364
-93.96661701,34.57361792,11290.74364
-93.9665716,35.47029249,647.7555141
-93.96616796,33.69433437,2490.139326
-93.96597045,33.67770439,3931.318774
-93.96586906,34.57870075,11290.74364
-93.96559566,36.22518327,2567.741047
-93.96529579,33.6708102,2928.139878
-93.96477478,33.69273018,2490.139326
-93.96470412,33.67906712,3931.318774
-93.96456582,33.6691925,921.7820873
-93.963996,34.57983374,11290.74364
-93.96327166,36.33494145,1126.630478
-93.96308496,33.68909071,2490.139326
-93.96261071,33.68733573,3643.082884
-93.9624632,33.68557819,3931.318774
-93.96235928,33.68206164,3931.318774
-93.96227228,35.47021865,634.5071849
-93.96219395,33.68382161,3931.318774
-93.96193526,33.66640451,2592.141097
-93.96023576,33.55698486,946.4072513
-93.95958099,32.69894789,1108.681495
-93.95940521,36.33311545,896.6883073
-93.95855811,34.57625922,11290.74364
-93.95836007,36.35512055,1045.518895
-93.95829022,33.55639565,922.0003048
-93.95796771,36.35337478,1707.88504
-93.95780937,35.47029021,556.7199006
-93.95766821,32.69964805,1174.289505
-93.95701639,36.35642949,1045.518895
-93.95692415,36.35162521,2204.659648
-93.95643331,34.57635834,11290.74364
-93.9563443,33.55577035,922.0003048
-93.95578128,36.34838895,2204.659648
-93.95567496,36.22736167,975.2574937
-93.95565876,35.47017202,456.6822477
-93.95532673,36.23088038,1048.964834
-93.95522005,36.33254883,1913.450329
-93.9541211,36.34502157,2204.659648
-93.95351955,32.70077112,1174.289505
-93.95298475,33.66168841,2592.141097
-93.95252212,36.30312193,7434.808396
-93.95216094,36.23212267,2346.023078
-93.95135562,35.46977323,664.3883506
-93.95122468,36.33855382,1545.245343
-93.95102309,36.35849671,1225.80609
-93.95044662,36.33504414,1913.450329
-93.95019487,36.30408318,2190.278673
-93.94936372,32.7012266,1174.289505
-93.94893229,33.66096844,2162.449971
-93.94887923,34.57358577,11290.74364
-93.94837207,33.54959047,842.2940404
-93.94780885,36.23110245,2346.023078
-93.94744947,32.70180033,1174.289505
-93.94710372,33.54825814,708.8865355
-93.94692769,34.57453876,11290.74364
-93.94542749,33.5474484,642.1827831
-93.94518748,36.35980512,1804.608502
-93.94474044,35.46958175,1423.790776
-93.94403818,33.65230521,1086.609983
-93.94392751,34.55891638,7147.257905
-93.94346305,32.70315456,1174.289505
-93.94335504,33.65055173,1086.609983
-93.94301121,36.3595699,1804.608502
-93.94279882,34.55741915,7147.257905
-93.9425917,35.46962174,1423.790776
-93.94255904,34.57191237,7147.257905
-93.94201489,36.30669307,2190.278673
-93.94183549,34.56556052,7147.257905
-93.94145648,33.56763633,806.7892442
-93.94124232,33.57102011,842.1404144
-93.94113894,36.23165094,7434.808396
-93.94081105,34.5686795,7147.257905
-93.94078187,34.56705655,7147.257905
-93.94055343,33.57278407,842.1404144
-93.93980206,32.70503301,1203.645111
-93.9392345,33.64691238,849.2210346
-93.93883605,34.55124554,7147.257905
-93.93862633,33.57591028,1272.274674
-93.93818271,33.56279089,573.293699
-93.93788662,32.70550739,1203.645111
-93.93746181,34.54999362,6741.935832
-93.93721161,36.30809565,802.3768496
