x,y,Slope
-77.09440292,38.90650875,0.350772263
-77.09622536,38.90769962,0.350772263
-77.10945249,38.92211185,0.350772263
-77.11111913,38.92323862,0.350772263
-77.11527756,38.92755847,0.350772263
-77.12125407,38.93542396,14.49736844
-77.12277482,38.93674782,14.49736844
-77.12621775,38.93938817,14.49736844
-77.17467755,38.96739925,1.161281656
-77.17919076,38.96779256,1.161281656
-77.18128333,38.96828504,1.161281656
-77.19026916,38.96774725,1.161281656
-77.23079231,38.9791878,1.161281656
-77.23444987,38.97619856,1.161281656
-77.23929916,38.97990415,1.161281656
-77.24140243,38.98071171,1.161281656
-77.24350938,38.98126843,1.161281656
-77.72911476,39.3209618,1.68510583
-77.73341417,39.31967811,1.68510583
-77.73567351,39.31961857,1.68510583
-77.73793394,39.31958726,1.68510583
-77.74019933,39.31968321,1.68510583
-77.74244101,39.31917222,1.68510583
-77.7445034,39.31852591,1.68510583
-77.74950896,39.31485102,1.68510583
-77.75091067,39.31333143,1.68510583
-77.75553164,39.30933026,1.68510583
-77.75675792,39.30777872,1.68510583
-77.76191132,39.30553942,1.68510583
-77.78783927,39.28099366,1.68510583
-77.78736102,39.2792484,1.68510583
-77.78552736,39.27618428,1.68510583
-77.78425888,39.27459306,1.68510583
-77.7810435,39.26656203,1.337475877
-77.77982794,39.26307763,1.337475877
-77.77979863,39.26145675,1.337475877
-77.78232561,39.25883785,1.337475877
-77.78458279,39.25877485,1.337475877
-77.79286147,39.26152233,1.337475877
-77.8013259,39.26018917,1.337475877
-77.80487449,39.25763889,1.337475877
-77.81344957,39.25532383,1.337475877
-77.81456231,39.24954031,1.337475877
-77.81321937,39.24811877,1.337475877
-77.81041866,39.2451811,1.337475877
-77.80963172,39.24357852,1.337475877
-77.80898294,39.24183747,1.337475877
-77.80839746,39.24023001,1.337475877
-77.80757185,39.23849322,1.337475877
-77.80716278,39.23512478,1.337475877
-77.8078632,39.23335117,1.337475877
-77.80949558,39.2300686,1.337475877
-77.83403596,39.2307619,1.337475877
-77.83802691,39.23063042,1.337475877
-77.83962572,39.22920227,1.337475877
-77.84058128,39.2255304,1.337475877
-77.83609811,39.22156776,0.56269911
-77.83398283,39.22080849,0.56269911
-77.83204144,39.22005216,0.56269911
-77.82744621,39.21612072,0.56269911
-77.8274188,39.21098637,0.56269911
-77.84970937,39.19747017,0.56269911
-77.84614863,39.19513391,0.56269911
-77.84403261,39.19433879,0.56269911
-77.84035891,39.19229339,0.56269911
-77.83990143,39.18892625,0.56269911
-77.84075986,39.18741885,0.56269911
-77.84435183,39.18503391,0.56269911
