x,y,Wavelength (m)
-94.10527943,35.44624398,183992.7777
-94.08853697,35.44253896,185766.2004
-94.08671504,33.77748544,184659.8589
-94.0855193,33.78371882,431.6103459
-94.08251914,33.77360824,1096.509317
-94.08057853,33.77386875,186001.9539
-94.07567214,35.44448458,21566.60456
-94.07533237,33.58013353,60.33581968
-94.07353083,35.44502658,207671.2652
-94.0713908,35.44566771,91437.64618
-94.06996855,36.26642117,91171.07074
-94.06947708,36.26466763,277277.6332
-94.06877479,33.77560521,359.5760767
-94.06776329,36.26143752,69.29859418
-94.06651459,33.77622773,298528.9109
-94.06570721,33.57971895,186090.7854
-94.06547045,35.44790205,298013.385
-94.06482846,36.25680649,208714.448
-94.06459026,33.57299684,298565.7379
-94.06440715,33.5747571,392.0530821
-94.06407013,33.57651869,571.6355394
-94.06374079,33.56962204,18901.26261
-94.0630071,33.74631085,23210.7202
-94.06281216,33.77812653,280997.0115
-94.062176,36.2705384,3871.123385
-94.06161653,33.7433518,281015.7156
-94.06112192,33.74614283,3216.167691
-94.06110882,33.77224299,3550.241903
-94.06086705,33.77803505,263578.7998
-94.06043018,36.1400008,4003.113747
-94.05995125,33.74207463,263419.9763
-94.05985209,33.77366972,519.7224872
-94.0598161,33.7374059,1506.317556
-94.05919961,33.7601383,919.3944332
-94.05901084,33.74566493,1686.956301
-94.05887852,33.77529242,556.9853721
-94.05878742,33.74066146,2062.366176
-94.05807378,33.75676595,190446.8514
-94.05791436,35.45146681,195.1896003
-94.05746303,33.75501254,76798.89118
-94.05726412,36.14135983,1019.49525
-94.05690797,33.7458543,268501.971
-94.056544,33.72937662,20602.97921
-94.05625296,33.56077544,191801.3561
-94.05594249,35.45234964,20723.03796
-94.05523703,33.7469328,76640.88478
-94.05501812,36.14082327,2047.624505
-94.05475277,33.72853876,266308.5533
-94.0545766,33.74854378,18757.08585
-94.05450501,33.56004177,265672.5125
-94.05434625,36.13510965,18742.01932
-94.05264635,33.72840342,74.31563351
-94.05234796,36.13444206,267708.3162
-94.05074068,36.13325714,13665.28028
-94.05064168,36.2571988,267728.4059
-94.05053938,33.72822295,300599.2581
-94.04934577,33.55688207,267384.0411
-94.04882355,36.13016367,19001.21907
-94.0485886,33.72757215,75020.11978
-94.04855521,35.45624955,267050.6115
-94.04823528,36.12651763,90867.09356
-94.04717295,36.27251881,286394.7021
-94.04690423,33.55380202,283379.9292
-94.04663742,33.72688524,301087.4877
-94.04648494,36.25850457,19431.07635
-94.0458395,33.55233371,13094.38567
-94.04545391,36.14087624,212203.9366
-94.04494894,35.45858539,167.0500704
-94.04395109,36.14237687,134.1169524
-94.0432564,35.45979017,383628.3704
-94.04274923,32.69620035,76304.65534
-94.04176762,36.14524342,398924.9616
-94.04168063,36.27978786,76200.59547
-94.04150523,35.46072495,16762.18441
-94.04122072,36.12921128,193308.0696
-94.04093861,33.72421696,14582.75876
-94.04032971,36.26020983,269640.791
-94.03999215,36.14643032,14536.7155
-94.03927029,36.12962489,12696.13102
-94.03816265,36.26048108,1917.782358
-94.03799694,36.14685255,282385.1321
-94.03688595,33.72378389,12611.08623
-94.03598749,36.26013934,19059.4251
-94.03564364,33.55257094,2163.33657
-94.03529784,36.27957284,212398.6518
-94.03505643,35.46057177,2282.783733
-94.03413664,36.25906633,302057.4098
-94.0339069,32.7471563,16171.39434
-94.03372849,36.11379689,89696.85226
-94.03354722,33.55291315,3607.109023
-94.03348661,36.14619996,286957.6874
-94.0333165,36.13068612,76335.98776
-94.03290613,35.46046525,381954.0724
-94.03239748,32.69955,88809.52117
-94.03228924,36.2582511,383654.8852
-94.03149388,36.14596471,14738.41772
-94.03118623,36.12585425,379331.7824
-94.03108405,32.73838492,377680.3038
-94.03087238,32.73310987,303000.0843
-94.03075467,35.46026854,392309.4901
-94.03045306,36.25726986,303782.6206
-94.03034145,32.73135531,392700.3081
-94.03000872,32.72959911,394694.7424
-94.02986316,36.27694229,91747.57285
-94.02935646,33.55377781,395280.6768
-94.02872443,32.72609179,212212.3732
-94.02860366,35.46010527,392027.5383
-94.02838884,36.24771898,307258.1782
-94.02824175,32.69997072,738.1218762
-94.02786355,36.25434961,395116.798
-94.02753093,36.24934907,12174.9594
-94.0274684,36.14498059,376.7685017
-94.02707915,36.25273363,269168.9347
-94.0268867,33.72700597,5736.340258
-94.0260345,36.30426381,277221.1304
-94.02588167,36.21731436,398861.5966
-94.02572001,32.72124552,9499.178126
-94.02540075,36.30264654,381122.7946
-94.02530007,36.14491417,286606.0785
-94.02495606,33.72803211,381272.2457
-94.02443698,32.71990298,283797.9077
-94.02352308,36.27742043,93058.48887
-94.02324097,33.55585779,5985.8359
-94.0226551,36.223649,88899.52734
-94.02235746,32.7572634,8270.272991
-94.02211393,36.29794178,300844.459
-94.02198748,35.45978279,393952.0369
-94.02183165,32.75902661,94425.3769
-94.02175086,36.3080165,4653.836083
-94.02152536,32.71722068,11943.89278
-94.02098866,36.20072318,1573.129155
-94.02092903,32.70308909,382948.0462
-94.02086815,32.76065809,400029.7054
-94.02081348,36.29660063,387615.214
-94.02038741,36.24264887,398605.905
-94.02010162,32.71587925,87122.11266
-94.01984156,35.4600212,387392.0341
-94.01979109,36.19586518,92963.48268
-94.01971175,36.29512255,274318.1263
-94.0196558,33.7316348,5666.684562
-94.01926149,36.24421809,277571.6067
-94.01883522,36.22509156,5486.983572
-94.01872189,36.29350828,390794.7063
-94.01852429,32.71453904,392747.506
-94.01842426,32.76541354,387408.3855
-94.01827411,36.19467186,107686.5202
-94.01805013,33.73277359,12775.82149
-94.01759247,36.30943849,275458.2577
-94.01725784,36.2072459,18074.70273
-94.01699151,36.14707142,8324.95896
-94.01685573,36.28202993,21752.64247
-94.01661813,36.34247783,283656.4488
-94.01644442,33.73391236,14887.34142
-94.01610695,36.20874318,276315.1298
-94.01604832,36.21608205,3322.64007
-94.01590149,36.17889554,14198.86645
-94.01582603,36.34363205,14638.34053
-94.015767,36.31039338,98248.71317
-94.01572196,35.46105288,400589.081
-94.01557461,32.7118569,97534.23067
-94.01547526,36.33721377,384668.9385
-94.01508576,36.16738097,12280.7342
-94.01501986,36.22689457,13321.57284
-94.01487418,36.28705014,11875.0526
-94.01467508,36.33356949,8008.721498
-94.01409994,36.2151069,2501.162799
-94.01393829,36.31110127,182998.1423
-94.01377113,34.57121414,94520.15333
-94.01375039,35.46201617,207012.039
-94.0136512,32.71160186,83474.27996
-94.01356874,36.21187495,393428.2663
-94.01326114,36.24581194,5072.760369
-94.01323739,36.16630578,387079.261
-94.01317616,32.76863568,6822.494735
-94.01302604,36.22759301,381018.0566
-94.01272599,36.19136347,13109.30124
-94.0121691,36.34535533,387248.4653
-94.01174271,32.71266723,22127.70415
-94.0111829,36.14657969,6227.189791
-94.01077365,32.76860677,18516.71997
-94.01025251,36.31291745,379982.156
-94.01018378,36.18202894,16588.86259
-94.01013785,36.16389785,272016.0843
-94.01002126,33.73847806,5659.58308
-94.00968964,36.21473851,290531.508
-94.00923915,36.34835506,295107.4985
-94.00895188,33.56375488,2525.882685
-94.00811089,36.32566477,112322.7058
-94.00773946,34.57276229,2656.294773
-94.00758263,36.34952657,194047.8968
-94.00743059,36.31591624,310033.795
-94.00718247,33.56445834,7959.747549
-94.00689938,36.24441293,88636.07691
-94.00660564,32.76823055,278681.5682
-94.00648819,33.74098526,5875.609501
-94.00633241,32.7154493,287395.3898
-94.00592883,36.32269017,401166.7096
-94.00588365,36.31917468,3080.063905
-94.00575453,36.35035873,8454.333282
-94.0051703,36.24322846,394422.675
-94.00464166,32.80721576,392619.4375
-94.00458122,32.71628418,372858.558
-94.00414842,36.15664585,392465.3449
-94.00360787,36.24184423,268657.8357
-94.00327611,33.74326249,298028.3126
-94.00282118,33.56462259,104177.9223
-94.00272138,32.80742057,84753.67085
-94.00261529,32.8032709,382170.5942
-94.00244222,36.24050173,139.1313888
-94.00214411,32.80452073,9694.14828
-94.00202818,36.15341811,302.6076421
-94.0015918,32.80180237,372618.9001
-94.0014482,32.80614089,382631.51
-94.00127711,36.23902398,372228.2188
-94.0012594,36.14990858,383564.1339
-94.00120494,32.79342451,391.2849187
-94.0011385,36.14639362,210.6179423
-94.00092745,32.7915325,381639.5723
-94.00076006,32.7180827,382897.2719
-94.00058684,36.23114148,8779.524809
-94.00022836,32.79695015,1845.92669
-93.99989505,36.21455932,197976.5214
-93.9997582,34.57539536,381230.8465
-93.99953272,32.78992002,184474.3544
-93.99935848,36.2325491,7893.156899
-93.99900985,32.71901491,276725.9466
-93.99845779,33.746689,5340.662301
-93.99842441,32.76699068,274363.6761
-93.99813185,36.21132857,81.02167134
-93.99651081,32.7677185,182321.3155
-93.99613809,34.57351581,85672.8158
-93.99539769,33.53732698,91780.20753
-93.99510069,33.74904395,85536.76417
-93.9948162,32.76894067,91632.33532
-93.994487,34.57218746,157.9495411
-93.99333727,32.77035955,182180.524
-93.993093,36.20873547,86343.66145
-93.99292494,33.54599431,82592.24602
-93.99281522,35.46680009,22213.67459
-93.9923664,33.74554223,298962.7667
-93.99214417,32.78118415,107532.3523
-93.99131472,32.77956709,6689.508053
-93.99102998,32.72109155,199480.8408
-93.99088159,34.57152578,113681.9015
-93.99070983,33.74230878,99715.80243
-93.99067203,35.46728397,107894.6129
-93.99045268,32.77307941,213529.1855
-93.99023346,33.54912744,107699.6277
-93.98982607,33.7405572,181.451358
-93.98941187,33.55075744,113530.2695
-93.98894489,32.72070211,1354.86632
-93.98888272,33.56292835,305815.0831
-93.98836479,35.46787317,977.2593755
-93.98816713,33.55414952,215260.9484
-93.98793039,33.53416002,783.4669457
-93.98777635,33.56118749,2617.38774
-93.98749626,33.5576723,112702.7841
-93.98730869,34.5736092,93257.18951
-93.9870157,32.71993255,99596.48381
-93.98605548,35.46829554,90611.11713
-93.9858274,33.53390234,306037.7958
-93.98524616,32.71912382,215374.4463
-93.98391045,35.46863506,90723.22514
-93.98372959,33.53410069,306194.6774
-93.98363384,32.71805405,215406.7876
-93.98176723,35.46912394,111980.2557
-93.98134659,33.72398521,82516.53402
-93.98080562,36.21037918,179.9547758
-93.98048634,33.72236865,181757.6799
-93.98032418,34.57762963,194473.9682
-93.97962079,35.46935004,207906.6534
-93.97925613,32.70998093,307368.4063
-93.97883152,32.7082253,389321.3324
-93.97858018,36.20729797,208076.713
-93.97839178,34.57740166,389907.7463
-93.9780997,32.70471311,551.7580964
-93.97799575,34.57244516,208111.8105
-93.97784972,34.57420476,208111.2227
-93.97750599,32.70295879,181428.0135
-93.97726872,36.20399288,112745.7638
-93.97710887,33.71576658,182014.4399
-93.97692995,34.56893683,19380.6781
-93.97557588,33.54166779,95349.88748
-93.97538719,33.71239813,93694.34479
-93.97507613,32.70000102,279225.9313
-93.9748675,36.22071588,392121.7083
-93.97483051,36.22247414,279405.9389
-93.97458112,33.7107811,180.9275692
-93.97451689,36.22409944,278623.5759
-93.97439888,36.21368782,298049.3592
-93.97362426,33.54668874,1144.319557
-93.97355954,36.20340827,296499.9595
-93.97327791,36.21018101,81627.40431
-93.97318274,35.47014018,278593.1764
-93.97292592,33.70754737,213922.1388
-93.97283005,33.5484537,278202.3303
-93.97267188,36.20666999,181.6179453
-93.97180349,33.55008519,2288.490448
-93.97155514,36.22722776,166.46251
-93.97088524,33.55158054,392957.7616
-93.96964393,32.69724427,130.925465
-93.96926969,33.55275666,392971.662
-93.96912731,36.22735263,16301.35562
-93.96863437,33.69919356,185028.6194
-93.96808954,34.56521986,96225.46887
-93.96796173,34.5635977,112570.6833
-93.96791536,33.55398483,197169.1773
-93.96761526,36.33479045,95372.29237
-93.9675637,32.69724487,12060.88037
-93.96728021,36.22644622,209269.2322
-93.96674493,34.57713377,183797.2008
-93.96673391,34.57537542,391.3850312
-93.96661701,34.57361792,99622.16728
-93.9665716,35.47029249,97881.8448
-93.96616796,33.69433437,199550.9067
-93.96597045,33.67770439,98447.666
-93.96586906,34.57870075,283585.3489
-93.96559566,36.22518327,101066.3756
-93.96529579,33.6708102,281912.6785
-93.96477478,33.69273018,919.1596693
-93.96470412,33.67906712,2620.214017
-93.96456582,33.6691925,100273.3406
-93.963996,34.57983374,296751.1733
-93.96327166,36.33494145,99157.5139
-93.96308496,33.68909071,294731.4692
-93.96261071,33.68733573,391.0137138
-93.9624632,33.68557819,587.1118353
-93.96235928,33.68206164,198666.175
-93.96227228,35.47021865,195.9200213
-93.96219395,33.68382161,200800.5893
-93.96193526,33.66640451,14119.4673
-93.96023576,33.55698486,107697.2712
-93.95958099,32.69894789,309038.8582
-93.95940521,36.33311545,208982.2974
-93.95855811,34.57625922,2449.607649
-93.95836007,36.35512055,113531.2125
-93.95829022,33.55639565,194.3391444
-93.95796771,36.35337478,213054.7423
-93.95780937,35.47029021,406732.8597
-93.95766821,32.69964805,98645.02404
-93.95701639,36.35642949,406538.0977
-93.95692415,36.35162521,198157.5201
-93.95643331,34.57635834,311234.5637
-93.9563443,33.55577035,197262.4473
-93.95578128,36.34838895,297401.5455
-93.95567496,36.22736167,97763.10863
-93.95565876,35.47017202,391.7034891
-93.95532673,36.23088038,95999.78709
-93.95522005,36.33254883,12706.19743
-93.9541211,36.34502157,404289.4954
-93.95351955,32.70077112,298708.648
-93.95298475,33.66168841,401013.6929
-93.95252212,36.30312193,286140.7422
-93.95216094,36.23212267,92768.37747
-93.95135562,35.46977323,11847.91609
-93.95122468,36.33855382,98932.69759
-93.95102309,36.35849671,390.6979589
-93.95044662,36.33504414,6057.314545
-93.95019487,36.30408318,404516.5692
-93.94936372,32.7012266,294231.5328
-93.94893229,33.66096844,208431.0228
-93.94887923,34.57358577,12398.59538
-93.94837207,33.54959047,184514.757
-93.94780885,36.23110245,94375.9982
-93.94744947,32.70180033,298654.2287
-93.94710372,33.54825814,208473.2416
-93.94692769,34.57453876,90.13931991
-93.94542749,33.5474484,198735.8518
-93.94518748,36.35980512,213971.8845
-93.94474044,35.46958175,301398.8905
-93.94403818,33.65230521,101375.2691
-93.94392751,34.55891638,105659.4498
-93.94346305,32.70315456,101119.1537
-93.94335504,33.65055173,407032.1552
-93.94301121,36.3595699,100952.4822
-93.94279882,34.55741915,99069.02894
-93.9425917,35.46962174,1613.384704
-93.94255904,34.57191237,93182.78078
-93.94201489,36.30669307,707.0883934
-93.94183549,34.56556052,304911.7963
-93.94145648,33.56763633,110712.2374
-93.94124232,33.57102011,296558.1059
-93.94113894,36.23165094,111059.4433
-93.94081105,34.5686795,185302.647
-93.94078187,34.56705655,110863.0797
-93.94055343,33.57278407,207280.4605
-93.93980206,32.70503301,8251.963411
-93.9392345,33.64691238,205520.3784
-93.93883605,34.55124554,7903.953835
-93.93862633,33.57591028,110034.7719
-93.93818271,33.56279089,96893.24998
-93.93788662,32.70550739,109895.4088
-93.93746181,34.54999362,401040.1255
-93.93721161,36.30809565,102376.1499
-93.93597909,35.46965002,296042.2514
-93.93581833,33.64871502,213760.2984
